state_code,county,tract,block,aapi,aian,black,hispanic,other,white
11,001,0001,101,7,0,13,27,0,244
11,001,0001,102,13,0,0,0,0,22
11,001,0001,103,0,0,0,1,0,34
11,001,0001,104,0,0,0,4,0,96
11,001,0001,105,1,0,0,4,0,39
11,001,0001,106,5,0,1,3,0,84
11,001,0001,107,1,0,1,15,0,93
11,001,0001,108,9,0,0,12,0,163
11,001,0001,109,3,0,1,1,0,124
11,001,0001,110,3,0,0,12,0,93
11,001,0001,111,5,0,4,6,0,105
11,001,0001,112,1,0,0,5,0,46
11,001,0001,201,18,1,29,15,2,541
11,001,0001,202,7,0,29,33,0,270
11,001,0001,203,0,0,1,1,0,48
11,001,0001,204,1,0,12,6,0,71
11,001,0001,205,1,1,0,1,0,58
11,001,0001,207,0,0,2,1,0,75
11,001,0001,208,0,0,0,0,0,50
11,001,0001,209,0,0,1,1,0,31
11,001,0001,303,0,0,0,0,0,13
11,001,0001,304,5,0,0,0,0,12
11,001,0001,307,0,0,0,0,0,16
11,001,0001,308,6,0,1,5,0,41
11,001,0001,309,0,0,0,0,0,4
11,001,0001,310,4,0,0,5,0,112
11,001,0001,312,4,0,0,0,0,30
11,001,0001,401,1,0,2,6,0,50
11,001,0001,402,1,0,1,2,0,76
11,001,0001,403,1,0,5,1,0,56
11,001,0001,404,2,0,1,0,0,60
11,001,0001,405,1,0,1,1,0,32
11,001,0001,406,1,0,2,2,0,42
11,001,0001,407,2,1,4,1,0,43
11,001,0001,408,0,0,2,1,0,60
11,001,0001,409,4,0,0,5,0,85
11,001,0001,410,1,0,0,2,0,84
11,001,0001,501,2,0,3,9,0,70
11,001,0001,502,5,0,5,7,0,135
11,001,0001,503,1,0,4,0,0,50
11,001,0001,504,0,0,0,5,0,47
11,001,0001,505,0,0,0,0,1,48
11,001,0001,506,2,0,1,0,0,49
11,001,0001,507,2,0,3,6,0,130
11,001,0001,508,4,0,1,8,0,64
11,001,0001,509,1,0,0,0,0,46
11,001,0001,510,6,0,13,0,0,136
11,001,0001,511,2,0,0,8,0,52
11,001,0001,512,3,0,2,1,0,120
11,001,0001,513,3,0,2,6,0,42
11,001,0001,514,6,0,0,4,0,83
11,001,000201,101,315,7,371,266,17,2860
11,001,000202,102,21,2,4,11,1,122
