state_code,county,tract,block,aian,api,black,hispanic,other,white
21,001,970100,1000,0,0,0,6,0,17
21,001,970100,1001,0,0,0,0,0,12
21,001,970100,1002,0,0,0,1,0,129
21,001,970100,1003,0,0,0,0,0,41
21,001,970100,1004,0,0,0,0,0,4
21,001,970100,1005,0,0,0,0,0,0
21,001,970100,1006,0,0,0,0,0,32
21,001,970100,1007,0,0,1,0,0,3
21,001,970100,1008,0,0,0,0,0,16
21,001,970100,1009,0,0,0,0,0,4
21,001,970100,1010,0,0,0,0,0,5
21,001,970100,1011,0,0,1,0,0,12
21,001,970100,1012,0,0,0,0,0,11
21,001,970100,1013,0,0,0,0,0,4
21,001,970100,1014,0,0,3,0,0,66
21,001,970100,1015,0,0,3,1,2,11
21,001,970100,1016,0,0,0,0,0,84
21,001,970100,1017,0,0,0,0,0,0
21,001,970100,1018,0,0,0,0,0,0
21,001,970100,1019,0,0,0,0,1,89
21,001,970100,1020,0,0,0,0,0,0
21,001,970100,1021,0,0,0,0,3,32
21,001,970100,1022,0,0,0,0,0,0
21,001,970100,1023,0,0,0,0,0,31
21,001,970100,1024,0,0,0,0,0,0
21,001,970100,1025,0,0,0,0,0,56
21,001,970100,1026,0,0,0,0,0,61
21,001,970100,1027,0,0,0,0,0,0
21,001,970100,1028,0,0,0,0,0,0
21,001,970100,1029,0,0,0,0,0,0
21,001,970100,1030,0,0,0,0,0,45
21,001,970100,1031,0,0,0,0,0,0
21,001,970100,1032,0,0,0,0,0,0
21,001,970100,1033,0,0,0,0,0,0
21,001,970100,1034,0,0,0,0,0,0
21,001,970100,1035,0,0,0,0,0,0
21,001,970100,1036,0,0,0,0,0,0
21,001,970100,1037,0,0,0,0,0,0
21,001,970100,1038,0,0,0,0,0,0
21,001,970100,1997,0,0,0,0,0,0
21,001,970100,1998,0,0,0,0,0,0
21,001,970100,1999,0,0,0,0,0,0
21,001,970100,2000,0,0,0,0,0,2
21,001,970100,2001,0,0,0,0,0,23
21,001,970100,2002,0,0,0,0,0,0
21,001,970100,2003,0,0,0,0,0,0
21,001,970100,2004,0,0,0,0,0,0
21,001,970100,2005,0,0,0,0,0,0
21,001,970100,2006,0,0,0,0,0,0
21,001,970100,2007,0,0,0,0,0,2
21,001,970100,2008,0,0,0,0,0,26
21,001,970100,2009,0,0,0,0,0,40
21,001,970100,2010,0,0,0,3,0,3
21,001,970100,2011,0,0,0,0,0,5
21,001,970100,2012,0,0,0,0,0,0
21,001,970100,2013,0,0,0,0,0,10
21,001,970100,2014,0,0,0,0,0,0
21,001,970100,2015,0,0,0,0,0,41
21,001,970100,2016,0,0,0,0,0,0
21,001,970100,2017,0,0,0,0,0,2
21,001,970100,2018,0,0,0,0,0,1
21,001,970100,2019,0,0,0,0,0,0
21,001,970100,2020,0,0,0,0,0,0
21,001,970100,2021,0,0,4,0,0,113
21,001,970100,2022,0,0,0,0,0,0
21,001,970100,2023,0,0,0,0,0,2
21,001,970100,2024,0,0,0,0,0,11
21,001,970100,2025,0,0,0,1,0,104
21,001,970100,2026,0,0,0,0,0,0
21,001,970100,2027,0,0,0,0,0,0
21,001,970100,2028,0,0,0,1,0,61
21,001,970100,2029,0,0,0,0,0,1
21,001,970100,2030,0,0,0,0,0,19
21,001,970100,2031,0,0,0,0,0,0
21,001,970100,2032,0,0,0,0,0,1
21,001,970100,2033,0,0,0,0,0,11
21,001,970100,2034,0,0,0,0,0,4
21,001,970100,2035,0,0,0,0,0,0
21,001,970100,2036,0,0,0,0,0,0
21,001,970100,2037,0,0,0,0,0,3
21,001,970100,2038,0,0,0,0,0,0
21,001,970100,2039,0,0,0,0,0,0
21,001,970100,2040,0,0,0,0,0,0
21,001,970100,2041,0,0,0,0,0,0
