state_code,county,tract,block,aapi,aian,black,hispanic,multi,other,white
10,001,040100,1000,0,0,1,0,0,0,14
10,001,040100,1001,0,0,5,0,6,0,353
10,001,040100,1002,0,0,0,0,0,0,16
10,001,040100,1003,1,0,0,0,0,0,79
10,001,040100,1004,0,0,0,1,1,0,53
10,001,040100,1005,1,0,0,2,1,0,61
10,001,040100,1006,0,0,0,0,0,0,0
10,001,040100,1007,0,0,0,0,0,0,0
10,001,040100,1008,0,1,7,0,9,0,248
10,001,040100,1009,0,0,0,0,0,0,14
10,001,040100,1010,0,0,0,0,0,0,2
10,001,040100,1011,0,0,2,0,0,0,114
10,001,040100,1012,1,13,1,5,5,0,328
10,001,040100,1013,0,4,1,9,3,0,178
10,001,040100,1014,0,1,15,2,0,0,126
10,001,040100,1015,0,0,0,0,3,0,3
10,001,040100,1016,0,0,0,0,0,0,0
10,001,040100,1017,0,0,0,0,0,0,0
10,001,040100,1018,0,0,6,0,0,0,36
10,001,040100,1019,0,0,0,0,0,0,4
10,001,040100,1020,0,0,13,0,0,0,16
10,001,040100,1021,0,0,0,0,0,0,2
10,001,040100,1022,0,0,1,0,0,0,10
10,001,040100,1023,0,0,0,0,0,0,16
10,001,040100,1024,0,0,0,0,0,0,0
10,001,040100,1025,0,0,12,0,0,0,5
10,001,040100,1026,0,0,0,0,0,0,16
10,001,040100,1027,2,0,40,1,1,0,77
10,001,040100,2000,0,0,0,1,5,0,113
10,001,040100,2001,0,0,0,0,0,0,2
10,001,040100,2002,0,0,0,0,0,0,60
10,001,040100,2003,0,0,0,0,0,0,73
10,001,040100,2004,0,0,0,0,0,0,5
10,001,040100,2005,0,0,0,0,0,0,2
10,001,040100,2006,0,0,0,7,0,0,38
10,001,040100,2007,0,0,1,0,0,0,1
10,001,040100,2008,0,0,3,0,1,0,56
10,001,040100,2009,0,1,12,1,0,0,105
10,001,040100,2010,0,0,3,0,1,3,73
10,001,040100,2011,1,1,18,3,0,0,127
10,001,040100,2012,0,0,9,0,3,0,66
10,001,040100,2013,0,0,0,0,0,0,0
10,001,040100,2014,5,0,13,4,3,0,160
10,001,040100,2015,0,0,0,0,0,0,68
10,001,040100,2016,0,0,10,0,2,0,82
10,001,040100,2017,0,0,0,0,0,0,0
10,001,040100,2018,0,0,0,0,0,0,0
10,001,040100,2019,0,0,0,1,0,0,14
10,001,040100,2020,0,0,3,5,1,0,28
10,001,040100,2021,0,0,0,2,0,0,48
10,001,040100,2022,0,0,0,0,0,0,10
