state_code,county,tract,block,aapi,aian,black,hispanic,multi,other,white
11,001,000100,1000,11,0,22,14,5,0,227
11,001,000100,1001,2,0,0,1,0,0,38
11,001,000100,1002,4,0,0,2,2,0,19
11,001,000100,1003,7,1,2,2,2,1,65
11,001,000100,1004,1,0,0,4,1,0,101
11,001,000100,1005,5,1,0,4,2,0,104
11,001,000100,1006,11,0,0,6,0,0,99
11,001,000100,1007,4,0,3,3,0,0,66
11,001,000100,1008,2,0,1,9,4,0,117
11,001,000100,1009,9,0,0,6,0,0,164
11,001,000100,1010,5,0,0,4,4,0,87
11,001,000100,1011,1,0,0,2,0,0,40
11,001,000100,2000,1,0,0,0,2,0,50
11,001,000100,2001,0,0,0,0,0,0,0
11,001,000100,2002,1,0,2,3,0,0,43
11,001,000100,2003,0,0,1,1,1,0,36
11,001,000100,2004,11,1,96,27,9,2,495
11,001,000100,2005,12,0,18,15,0,1,236
11,001,000100,2006,3,0,4,4,1,0,83
11,001,000100,2007,2,0,0,3,1,0,83
11,001,000100,2008,0,0,0,1,0,0,45
11,001,000100,2009,0,0,0,1,0,0,29
11,001,000100,4000,0,0,0,2,0,0,40
11,001,000100,4001,2,0,2,1,2,0,53
11,001,000100,4002,0,3,11,1,2,0,87
11,001,000100,4003,8,0,0,2,0,0,81
11,001,000100,4004,2,0,2,1,1,0,58
11,001,000100,4005,0,0,0,1,1,0,7
11,001,000100,4006,3,1,1,5,0,1,79
11,001,000100,4007,3,0,0,1,0,0,57
11,001,000100,4008,0,0,2,3,0,0,53
11,001,000100,4009,0,0,0,1,1,0,35
11,001,000100,4010,1,0,0,2,0,0,51
11,001,000100,4011,0,0,0,0,0,0,0
11,001,000100,4012,0,0,0,0,0,0,25
11,001,000100,4013,0,0,1,1,0,0,11
11,001,000100,4014,0,0,2,0,0,0,5
11,001,000100,4015,0,0,0,0,0,0,0
11,001,000100,4016,0,0,0,0,0,0,0
11,001,000100,4017,0,0,0,0,0,0,4
11,001,000100,4018,1,0,0,3,1,1,36
11,001,000100,4019,0,0,0,0,0,0,0
11,001,000100,4020,10,0,7,6,0,0,112
11,001,000100,4021,0,0,0,0,0,0,0
11,001,000100,4022,0,0,0,0,0,0,0
11,001,000100,4023,0,0,0,0,0,0,0
11,001,000100,4024,0,0,0,0,0,0,0
11,001,000100,4025,0,0,0,0,0,0,0
11,001,000100,4026,0,0,0,0,0,0,0
11,001,000100,4027,1,0,0,1,0,0,31
11,001,000100,4028,0,0,0,0,0,0,2
11,001,000100,4029,1,0,2,0,1,0,8
11,001,000100,4030,0,0,0,0,0,0,0
11,001,000100,4031,0,0,0,0,0,0,0
11,001,000100,4999,0,0,0,0,0,0,0
11,001,000100,5000,2,0,0,0,8,0,38
11,001,000100,5001,4,0,0,5,6,1,111
11,001,000100,5002,4,0,0,6,2,0,146
11,001,000100,5003,8,0,2,0,0,0,56
11,001,000100,5004,5,0,0,4,0,1,109
11,001,000100,5005,3,0,0,1,0,1,78
11,001,000100,5006,1,0,1,3,0,0,40
11,001,000100,5007,2,0,1,1,0,0,71
11,001,000100,5008,8,0,2,3,2,0,68
11,001,000100,5009,3,0,0,3,0,0,82
11,001,000100,5010,0,0,1,4,0,0,59
11,001,000100,5011,0,0,0,2,0,1,52
11,001,000100,5012,2,0,0,0,0,1,48
11,001,000100,5013,0,0,0,8,1,0,39
11,001,000201,1000,298,0,239,75,2,1,3852
11,001,000202,1000,0,0,0,0,0,0,0
11,001,000202,1001,13,2,11,15,7,0,118
11,001,000202,1002,0,0,1,2,0,0,42
11,001,000202,1003,1,0,0,1,2,1,61
11,001,000202,1004,8,0,3,4,4,1,79
11,001,000202,1005,3,0,2,4,0,0,78
11,001,000202,1006,5,0,0,5,4,0,97
11,001,000202,1007,3,0,0,0,0,0,25
11,001,000202,1008,0,0,2,2,2,0,115
11,001,000202,1009,0,0,0,5,1,0,81
11,001,000202,1010,3,0,0,3,0,0,126
11,001,000202,1011,6,0,0,10,3,0,166
11,001,000202,2000,2,0,0,3,0,0,77
11,001,000202,2001,0,0,0,1,1,0,28
11,001,000202,2002,3,0,1,2,0,0,71
11,001,000202,2003,0,0,0,1,0,0,71
11,001,000202,2004,4,0,0,4,0,0,115
11,001,000202,2005,8,0,0,6,1,1,90
11,001,000202,2006,2,0,0,2,0,0,71
11,001,000202,2007,1,0,0,8,2,0,92
11,001,000202,2008,3,0,0,1,0,0,88
11,001,000202,3000,1,0,4,7,2,0,61
11,001,000202,3001,0,0,1,4,0,0,42
11,001,000202,3002,0,0,4,6,1,0,87
11,001,000202,3003,7,0,1,2,1,0,90
11,001,000202,3004,13,0,2,11,4,0,66
11,001,000202,3005,2,0,2,1,0,0,79
11,001,000202,3006,2,0,0,5,0,0,59
11,001,000202,3007,19,0,0,4,4,0,81
11,001,000202,3008,3,0,0,1,0,2,12
11,001,000202,3009,4,0,2,2,1,0,43
11,001,000202,3010,5,0,6,2,3,0,92
11,001,000202,3011,0,0,2,1,4,0,46
