state_code,county,tract,block,aian,api,black,hispanic,other,white
15,001,020100,1000,0,1,0,0,0,0
15,001,020100,1001,0,0,0,0,0,0
15,001,020100,1002,2,58,0,13,62,35
15,001,020100,1003,0,9,0,9,15,17
15,001,020100,1004,2,30,0,12,32,20
15,001,020100,1005,0,17,0,14,13,2
15,001,020100,1006,0,51,0,17,34,25
15,001,020100,1007,0,11,0,0,1,9
15,001,020100,1008,0,4,0,1,18,7
15,001,020100,1009,0,0,0,0,0,0
15,001,020100,1010,0,0,0,0,0,0
15,001,020100,1011,0,0,0,0,0,0
15,001,020100,1012,0,0,0,0,0,0
15,001,020100,1013,0,0,0,0,0,0
15,001,020100,1014,0,0,0,0,0,0
15,001,020100,1015,0,0,0,0,0,0
15,001,020100,1016,0,0,0,0,0,0
15,001,020100,1017,0,0,0,0,0,0
15,001,020100,1996,0,0,0,0,0,0
15,001,020100,1997,0,0,0,0,0,0
15,001,020100,1998,0,0,0,0,0,0
15,001,020100,1999,0,0,0,0,0,0
15,001,020100,2000,0,8,0,0,6,4
15,001,020100,2001,0,2,0,0,2,1
15,001,020100,2002,0,0,0,0,0,0
15,001,020100,2003,0,0,0,0,0,0
15,001,020100,2004,0,0,0,0,0,0
15,001,020100,2005,0,0,0,0,0,0
15,001,020100,2006,0,0,0,0,0,0
15,001,020100,2007,0,0,0,0,0,0
15,001,020100,2008,0,0,0,0,0,0
15,001,020100,2009,0,26,0,11,13,27
15,001,020100,2010,0,0,0,0,0,0
15,001,020100,2011,0,0,0,0,0,0
15,001,020100,2012,0,0,0,0,0,0
15,001,020100,2013,0,0,0,0,0,0
15,001,020100,2014,0,0,0,0,5,1
15,001,020100,2015,0,8,0,0,1,1
15,001,020100,2016,0,13,0,1,1,21
15,001,020100,2017,0,14,0,0,10,1
15,001,020100,2018,0,0,0,0,0,0
15,001,020100,2019,0,0,0,0,0,0
15,001,020100,2020,0,0,0,0,0,0
15,001,020100,2021,0,0,0,0,0,0
15,001,020100,2022,0,24,0,4,12,20
15,001,020100,2023,0,2,1,0,9,17
15,001,020100,2024,0,0,0,0,0,2
15,001,020100,2025,0,0,0,0,0,0
15,001,020100,2026,0,0,0,0,0,0
15,001,020100,2027,0,0,0,0,0,0
15,001,020100,2028,0,0,0,0,0,0
15,001,020100,2029,0,0,0,0,0,0
15,001,020100,2030,0,0,0,0,0,0
15,001,020100,2031,0,0,0,0,0,0
15,001,020100,2032,0,0,0,0,0,0
15,001,020100,2033,0,0,0,0,0,0
15,001,020100,2034,0,0,0,0,0,0
15,001,020100,2035,0,0,0,0,0,0
15,001,020100,2036,0,0,0,0,0,0
15,001,020100,2037,0,0,0,0,0,0
15,001,020100,2038,0,1,0,3,0,0
15,001,020100,2039,0,1,0,0,0,6
15,001,020100,2040,0,0,0,0,0,0
