state_code,county,tract,block,aapi,aian,black,hispanic,multi,other,white
23,001,010100,1000,0,0,0,0,0,0,0
23,001,010100,1001,0,0,0,0,1,0,0
23,001,010100,1002,0,1,0,0,0,0,107
23,001,010100,1003,0,0,0,2,0,1,27
23,001,010100,1004,0,0,0,0,0,0,0
23,001,010100,1005,0,0,9,2,0,0,114
23,001,010100,1006,0,0,0,0,0,0,25
23,001,010100,1007,0,0,29,6,3,0,50
23,001,010100,1008,0,0,0,0,0,0,0
23,001,010100,1009,0,0,0,0,0,0,2
23,001,010100,1010,0,0,1,6,0,0,28
23,001,010100,1011,0,0,0,0,0,0,0
23,001,010100,1012,0,0,0,0,0,0,0
23,001,010100,1013,0,1,2,0,0,0,67
23,001,010100,1014,0,0,0,0,0,0,0
23,001,010100,1015,2,0,7,9,8,0,59
23,001,010100,1016,0,1,0,1,8,0,40
23,001,010100,1017,0,1,1,2,5,0,78
23,001,010100,1018,1,0,1,3,8,0,96
23,001,010100,1019,0,0,0,0,0,0,14
23,001,010100,2000,0,0,0,0,0,0,0
23,001,010100,2001,1,1,3,1,5,0,110
23,001,010100,2002,0,0,0,0,1,0,96
23,001,010100,2003,0,0,0,0,0,0,0
23,001,010100,2004,0,1,2,0,5,0,61
23,001,010100,2005,0,0,3,1,3,0,98
23,001,010100,2006,1,1,6,3,0,0,49
23,001,010100,2007,1,0,1,2,1,0,54
23,001,010100,2008,3,0,2,0,1,0,37
23,001,010100,2009,1,1,0,2,0,0,32
23,001,010100,2010,0,0,0,0,0,0,32
23,001,010100,2011,0,0,0,0,0,0,0
23,001,010100,2012,0,0,0,0,2,0,8
23,001,010100,2013,0,0,0,0,0,0,6
23,001,010100,2014,0,1,0,0,1,0,20
23,001,010100,2015,0,0,0,0,9,0,62
23,001,010100,2016,0,0,0,0,0,0,0
23,001,010100,2017,1,0,0,0,3,0,38
23,001,010100,2018,0,0,1,5,7,0,71
23,001,010100,2019,2,0,3,1,3,1,11
23,001,010100,2020,0,0,0,0,0,0,0
23,001,010100,2021,0,0,0,0,0,0,0
23,001,010100,2022,0,0,0,0,0,0,0
23,001,010100,2023,0,0,0,0,0,0,0
23,001,010100,2024,0,0,0,0,0,0,7
23,001,010100,2025,0,0,0,0,0,0,0
23,001,010100,2026,0,0,0,0,0,0,0
