state,county,tract,block,aian,api,black,hispanic,other,white
72,001,956300,1000,0,0,0,3,0,0
72,001,956300,1001,0,0,0,0,0,0
72,001,956300,1002,0,0,0,0,0,0
72,001,956300,1003,0,0,0,0,0,0
72,001,956300,1004,0,0,0,0,0,0
72,001,956300,1005,0,0,0,0,0,0
72,001,956300,1006,0,0,0,0,0,0
72,001,956300,1007,0,0,0,0,0,0
72,001,956300,1008,0,0,0,0,0,0
72,001,956300,1009,0,0,0,22,0,0
72,001,956300,1010,0,0,0,0,0,0
72,001,956300,1011,0,0,0,0,0,0
72,001,956300,1012,0,0,0,44,0,0
72,001,956300,1013,0,0,0,9,0,0
72,001,956300,1014,0,0,0,22,0,0
72,001,956300,1015,0,0,0,4,0,0
72,001,956300,1016,0,0,0,159,0,2
72,001,956300,1017,0,0,0,15,0,0
72,001,956300,1018,0,0,0,60,0,0
72,001,956300,1019,0,0,0,22,0,0
72,001,956300,1020,0,0,0,33,0,0
72,001,956300,1021,0,0,0,0,0,0
72,001,956300,1022,0,0,0,50,0,0
72,001,956300,1023,0,0,0,0,0,0
72,001,956300,1024,0,0,0,0,0,0
72,001,956300,1025,0,0,0,1,0,0
72,001,956300,1026,0,0,0,25,0,0
72,001,956300,1027,0,0,0,0,0,0
72,001,956300,1028,0,0,0,9,0,0
72,001,956300,1029,0,0,0,0,0,0
72,001,956300,1030,0,0,0,1,0,0
72,001,956300,1031,0,0,0,18,0,0
72,001,956300,1032,0,0,0,0,0,0
72,001,956300,1033,0,0,0,24,0,0
72,001,956300,1034,0,0,0,0,0,0
72,001,956300,1035,0,0,0,0,0,0
72,001,956300,1036,0,0,0,8,0,0
72,001,956300,1037,0,0,0,6,0,0
72,001,956300,1038,0,0,0,28,0,0
72,001,956300,1039,0,0,0,31,0,0
72,001,956300,1040,0,0,0,8,0,0
72,001,956300,1041,0,0,0,3,0,0
72,001,956300,1042,0,0,0,0,0,0
72,001,956300,1043,0,0,0,0,0,0
72,001,956300,1044,0,0,0,26,0,0
72,001,956300,1045,0,0,0,5,0,0
72,001,956300,1046,0,0,0,0,0,0
72,001,956300,1047,0,0,0,35,0,2
72,001,956300,1048,0,0,0,8,0,0
72,001,956300,1049,0,0,0,29,0,0
72,001,956300,1050,0,0,0,51,0,0
72,001,956300,1051,0,0,0,7,0,0
72,001,956300,1052,0,0,0,0,0,0
72,001,956300,1053,0,0,0,0,0,0
72,001,956300,1054,0,0,0,0,0,0
72,001,956300,1055,0,0,0,20,0,0
72,001,956300,1056,0,0,0,0,0,0
72,001,956300,1057,0,0,0,98,0,0
72,001,956300,1058,0,0,0,38,0,0
72,001,956300,1059,0,0,0,23,0,0
72,001,956300,1060,0,0,0,8,0,0
72,001,956300,1061,0,0,0,0,0,0
72,001,956300,1062,0,0,0,146,0,0
72,001,956300,1063,0,0,0,0,0,0
72,001,956300,1064,0,0,0,63,0,0
72,001,956300,1065,0,0,0,22,0,0
72,001,956300,1066,0,0,0,2,0,0
72,001,956300,1067,0,0,0,18,0,0
72,001,956300,1068,0,0,0,0,0,0
72,001,956300,1069,0,0,0,19,0,0
72,001,956300,1070,0,0,0,0,0,0
72,001,956300,1071,0,0,0,0,0,0
72,001,956300,1072,0,0,0,0,0,0
72,001,956300,1073,0,0,0,8,0,0
72,001,956300,1074,0,0,0,11,0,0
72,001,956300,1075,0,0,0,14,0,0
72,001,956300,1076,0,0,0,15,0,0
72,001,956300,1077,0,0,0,181,0,0
72,001,956300,1078,0,0,0,89,0,0
72,001,956300,1079,0,0,0,0,0,0
72,001,956300,1080,0,0,0,11,0,0
72,001,956300,1081,0,0,0,24,0,0
72,001,956300,1082,0,0,0,98,0,0
72,001,956300,1083,0,0,0,2,0,0
72,001,956300,1084,0,0,0,0,0,0
72,001,956300,1085,0,0,0,108,0,0
72,001,956300,1086,0,0,0,3,0,1
72,001,956300,1087,0,0,0,16,0,0
72,001,956300,1088,0,0,0,0,0,0
72,001,956300,1089,0,0,0,33,0,0
72,001,956300,1090,0,0,0,0,0,0
72,001,956300,1091,0,0,0,70,0,3
72,001,956300,1092,0,0,0,0,0,0
72,001,956300,1093,0,0,0,0,0,0
72,001,956300,1094,0,0,0,39,0,0
72,001,956300,1095,0,0,0,8,0,3
72,001,956300,1096,0,0,0,4,0,0
72,001,956300,1097,0,0,0,23,0,0
72,001,956300,1098,0,0,0,40,0,0
72,001,956300,1099,0,0,0,3,0,0
72,001,956300,1100,0,0,0,46,0,0
72,001,956300,1101,0,0,0,0,0,0
72,001,956300,1102,0,0,0,0,0,0
72,001,956300,1103,0,0,0,0,0,0
72,001,956300,1104,0,0,0,1,0,0
72,001,956300,1105,0,0,0,33,0,0
72,001,956300,1106,0,0,0,0,0,0
72,001,956300,1107,0,0,0,0,0,0
72,001,956300,1108,0,0,0,18,0,0
72,001,956300,1109,0,0,0,4,0,0
72,001,956300,1110,0,0,0,8,0,0
72,001,956300,1111,0,0,0,9,0,0
72,001,956300,1112,0,0,0,6,0,0
72,001,956300,1113,0,0,0,10,0,1
72,001,956300,1114,0,0,0,0,0,0
72,001,956300,1115,0,0,0,0,0,0
72,001,956300,1116,0,0,0,0,0,0
72,001,956300,1117,0,0,0,0,0,0
72,001,956300,1118,0,0,0,0,0,0
72,001,956300,1119,0,0,0,0,0,0
72,001,956300,1120,0,0,0,0,0,0
72,001,956300,1121,0,0,0,1,0,0
72,001,956300,1122,0,0,0,0,0,0
72,001,956300,1123,0,0,0,0,0,0
72,001,956300,1124,0,0,0,0,0,0
72,001,956300,1125,0,0,0,0,0,0
72,001,956300,1126,0,0,0,0,0,0
72,001,956300,1127,0,0,0,0,0,0
72,001,956300,1128,0,0,0,0,0,0
72,001,956300,2000,0,0,0,0,0,0
72,001,956300,2001,0,0,0,0,0,0
72,001,956300,2002,0,0,0,0,0,0
72,001,956300,2003,0,0,0,0,0,0
72,001,956300,2004,0,0,0,0,0,0
72,001,956300,2005,0,0,0,26,0,0
72,001,956300,2006,0,0,0,7,0,0
72,001,956300,2007,0,0,0,38,0,0
72,001,956300,2008,0,0,0,0,0,0
72,001,956300,2009,0,0,0,8,0,0
72,001,956300,2010,0,0,0,134,0,0
72,001,956300,2011,0,0,0,0,0,0
72,001,956300,2012,0,0,0,21,0,0
72,001,956300,2013,0,0,0,37,0,0
72,001,956300,2014,0,0,0,36,0,0
72,001,956300,2015,0,0,0,9,0,0
72,001,956300,2016,0,0,0,0,0,0
72,001,956300,2017,0,0,0,4,0,0
72,001,956300,2018,0,0,0,37,0,0
72,001,956300,2019,0,0,0,15,0,1
72,001,956300,2020,0,0,0,48,0,0
72,001,956300,2021,0,0,0,0,0,0
72,001,956300,2022,0,0,0,0,0,0
72,001,956300,2023,0,0,0,6,0,0
72,001,956300,2024,0,0,0,0,0,0
72,001,956300,2025,0,0,0,0,0,0
72,001,956300,2026,0,0,0,5,0,0
72,001,956300,2027,0,0,0,13,0,0
72,001,956300,2028,0,0,0,2,0,0
72,001,956300,2029,0,0,0,0,0,0
72,001,956300,2030,0,0,0,0,0,0
72,001,956300,2031,0,0,0,1,0,0
72,001,956300,2032,0,0,0,0,0,0
72,001,956300,2033,0,0,0,0,0,0
72,001,956300,2034,0,0,0,16,0,0
72,001,956300,2035,0,0,0,0,0,0
72,001,956300,2036,0,0,0,7,0,0
72,001,956300,2037,0,0,0,0,0,0
72,001,956300,2038,0,0,0,0,0,0
72,001,956300,2039,0,0,0,11,0,0
72,001,956300,2040,0,0,0,2,0,0
72,001,956300,2041,0,0,0,0,0,0
72,001,956300,2042,0,0,0,44,0,0
72,001,956300,2043,0,0,0,0,0,0
72,001,956300,2044,0,0,0,0,0,0
72,001,956300,2045,0,0,0,3,0,0
72,001,956300,2046,0,0,0,0,0,0
72,001,956300,2047,0,0,0,1,0,0
72,001,956300,2048,0,0,0,5,0,0
72,001,956300,2049,0,0,0,0,0,0
72,001,956300,2050,0,0,0,0,0,0
72,001,956300,2051,0,0,0,28,0,1
72,001,956300,2052,0,0,0,70,0,1
72,001,956300,2053,0,0,0,0,0,0
72,001,956300,2054,0,0,0,0,0,0
72,001,956300,2055,0,0,0,0,0,0
72,001,956300,2056,0,0,0,0,0,0
72,001,956300,2057,0,0,0,21,0,0
72,001,956300,2058,0,0,0,13,0,0
72,001,956300,2059,0,0,0,23,0,0
72,001,956300,2060,0,0,0,2,0,0
72,001,956300,2061,0,0,0,6,0,0
72,001,956300,2062,0,0,0,0,0,0
72,001,956300,2063,0,0,0,0,0,0
72,001,956300,2064,0,0,0,1,0,0
72,001,956300,2065,0,0,0,16,0,0
72,001,956300,2066,0,0,0,25,0,1
72,001,956300,2067,0,0,0,35,0,0
72,001,956300,2068,0,0,0,18,0,1
72,001,956300,2069,0,0,0,33,0,0
72,001,956300,2070,0,0,0,26,0,0
72,001,956300,2071,0,0,0,65,0,0
72,001,956300,2072,0,0,0,1,0,0
72,001,956300,2073,0,0,0,0,0,0
72,001,956300,2074,0,0,0,13,0,0
72,001,956300,2075,0,0,0,10,0,0
72,001,956300,2076,0,0,0,94,0,0
72,001,956300,2077,0,0,0,0,0,0
72,001,956300,2078,0,0,0,97,0,0
72,001,956300,2079,0,0,0,2,0,0
72,001,956300,2080,0,0,0,7,0,0
72,001,956300,2081,0,0,0,26,0,0
72,001,956300,2082,0,0,0,0,0,0
72,001,956300,2083,0,0,0,0,0,0
72,001,956300,2084,0,0,0,0,0,0
72,001,956300,2085,0,0,0,0,0,0
72,001,956300,2086,0,0,0,0,0,0
72,001,956300,2087,0,0,0,0,0,0
72,001,956300,2088,0,0,0,8,0,0
72,001,956300,2089,0,0,0,0,0,0
72,001,956300,2090,0,0,0,5,0,0
72,001,956300,2091,0,0,0,21,0,0
72,001,956300,2092,0,0,0,58,0,0
72,001,956300,2093,0,0,0,0,0,0
72,001,956300,2094,0,0,0,6,0,0
72,001,956300,2095,0,0,0,0,0,0
72,001,956300,2096,0,0,0,0,0,0
72,001,956300,2097,0,0,0,0,0,0
72,001,956300,2098,0,0,0,10,0,0
72,001,956300,2099,0,0,0,3,0,0
72,001,956300,2100,0,0,0,0,0,0
72,001,956300,2101,0,0,0,34,0,0
72,001,956300,2102,0,0,0,62,0,0
72,001,956300,2103,0,0,0,0,0,0
72,001,956300,2104,0,0,0,0,0,0
72,001,956300,2105,0,0,0,0,0,0
72,001,956300,2106,0,0,0,0,0,0
72,001,956300,2107,0,0,0,1,0,0
72,001,956300,2108,0,0,0,0,0,0
72,001,956300,2109,0,0,0,0,0,0
72,001,956300,2110,0,0,0,4,0,0
72,001,956300,2111,0,0,0,0,0,0
72,001,956300,2112,0,0,0,9,0,0
72,001,956300,2113,0,0,0,6,0,0
72,001,956300,2114,0,0,0,0,0,0
72,001,956300,2115,0,0,0,0,0,0
72,001,956300,2116,0,0,0,0,0,0
72,001,956300,2117,0,0,0,9,0,0
72,001,956300,2118,0,0,0,69,0,0
72,001,956300,2119,0,0,0,0,0,0
72,001,956300,2120,0,0,0,4,0,0
72,001,956300,2121,0,0,0,23,0,0
