state_code,county,tract,block,aian,api,black,hispanic,other,white
11,001,000100,1000,2,23,7,45,8,239
11,001,000100,1001,0,1,0,4,0,25
11,001,000100,1002,0,1,0,3,3,115
11,001,000100,1003,0,4,0,7,0,130
11,001,000100,1004,1,7,5,4,0,61
11,001,000100,1005,0,2,0,1,0,28
11,001,000100,1006,0,0,0,6,0,102
11,001,000100,1007,0,0,1,0,0,37
11,001,000100,1008,0,1,0,4,0,45
11,001,000100,1009,0,6,2,8,3,95
11,001,000100,1010,0,2,0,15,4,112
11,001,000100,1011,0,8,6,12,0,148
11,001,000100,2000,0,26,13,27,12,531
11,001,000100,2001,0,13,8,25,8,219
11,001,000100,2002,0,3,1,3,3,92
11,001,000100,2003,0,4,2,1,0,49
11,001,000100,2004,0,5,3,2,2,51
11,001,000100,2005,0,0,0,0,0,0
11,001,000100,2006,0,1,0,1,7,79
11,001,000100,2007,1,1,0,1,0,43
11,001,000100,2008,3,0,5,3,0,93
11,001,000100,2009,0,0,1,2,0,40
11,001,000100,3000,0,8,1,2,0,35
11,001,000100,3001,0,4,0,4,6,130
11,001,000100,3002,0,14,3,9,2,220
11,001,000100,3003,0,4,0,9,0,69
11,001,000100,3004,0,2,6,4,0,40
11,001,000100,3005,0,0,0,0,0,85
11,001,000100,3006,0,0,0,9,0,115
11,001,000100,3007,0,2,0,5,1,41
11,001,000100,3008,0,3,0,2,0,39
11,001,000100,3009,0,0,0,7,0,37
11,001,000100,3010,0,1,0,6,0,65
11,001,000100,3011,0,4,2,4,1,76
11,001,000100,3012,0,5,4,2,4,71
11,001,000100,4000,0,5,0,7,0,41
11,001,000100,4001,0,4,4,9,0,55
11,001,000100,4002,0,0,3,4,0,79
11,001,000100,4003,0,0,1,3,1,78
11,001,000100,4004,0,5,8,5,2,58
11,001,000100,4005,0,4,0,2,0,80
11,001,000100,4006,0,2,2,1,0,63
11,001,000100,4007,0,1,0,1,0,50
11,001,000100,4008,0,0,0,5,2,43
11,001,000100,4009,0,2,8,3,0,39
11,001,000100,4010,0,0,0,0,0,0
11,001,000100,4011,0,1,0,0,2,14
11,001,000100,4012,0,1,0,0,0,13
11,001,000100,4013,0,0,0,0,0,6
11,001,000100,4014,0,0,0,0,0,0
11,001,000100,4015,0,0,0,4,0,2
11,001,000100,4016,0,0,0,0,0,0
11,001,000100,4017,0,0,1,1,1,1
11,001,000100,4018,0,0,0,0,0,0
11,001,000100,4019,0,0,0,0,0,0
11,001,000100,4020,0,0,0,0,0,0
11,001,000100,4021,0,0,0,0,0,0
11,001,000100,4022,0,0,0,0,0,6
11,001,000100,4023,0,4,1,3,0,44
11,001,000100,4024,0,0,0,0,0,0
11,001,000100,4025,0,0,0,0,0,0
11,001,000100,4026,0,0,0,0,0,0
11,001,000100,4027,0,0,0,0,0,0
11,001,000100,4028,0,0,0,0,0,0
11,001,000100,4029,0,0,0,0,0,0
11,001,000100,4030,0,0,0,0,0,0
11,001,000100,4031,0,0,0,0,0,0
11,001,000100,4032,0,0,0,0,0,0
11,001,000100,4033,0,0,0,0,0,0
11,001,000100,4034,0,0,0,0,0,0
11,001,000100,4035,0,0,0,0,0,0
11,001,000100,4036,0,0,0,0,0,0
11,001,000100,4037,0,15,2,7,8,106
11,001,000100,4038,0,0,0,0,0,0
11,001,000100,4039,0,0,0,0,0,0
11,001,000100,4040,0,1,0,0,0,7
11,001,000100,4041,1,0,1,1,1,29
11,001,000100,4042,0,0,0,0,0,0
11,001,000100,4043,0,0,0,0,0,0
11,001,000100,4044,0,0,0,3,2,31
11,001,000100,4045,0,0,0,0,0,0
11,001,000100,4046,0,0,0,0,0,0
11,001,000100,4047,0,0,0,0,0,0
11,001,000100,4048,0,0,0,0,0,0
11,001,000100,4049,0,0,0,0,0,0
11,001,000100,4050,0,0,0,0,0,0
11,001,000201,1000,0,1,2,1,0,24
11,001,000201,1001,4,484,247,274,163,2716
11,001,000201,1002,0,0,0,0,0,0
11,001,000202,1000,0,0,0,0,0,0
11,001,000202,1001,0,8,11,7,2,146
11,001,000202,1002,0,7,0,0,0,33
11,001,000202,1003,0,4,0,3,3,55
11,001,000202,1004,0,13,1,3,4,86
11,001,000202,1005,0,0,2,2,3,71
11,001,000202,1006,0,2,5,12,4,103
11,001,000202,1007,0,4,0,3,1,21
11,001,000202,1008,0,3,2,2,0,105
11,001,000202,1009,0,0,0,4,0,77
11,001,000202,1010,0,5,3,10,0,149
11,001,000202,1011,0,9,0,20,4,184
11,001,000202,2000,0,0,0,3,1,87
11,001,000202,2001,0,3,0,2,0,26
11,001,000202,2002,0,4,1,5,2,57
11,001,000202,2003,0,1,0,0,2,75
11,001,000202,2004,0,6,0,9,2,103
11,001,000202,2005,0,5,1,4,0,103
11,001,000202,2006,0,3,1,3,5,79
11,001,000202,2007,1,5,0,7,3,99
11,001,000202,2008,0,8,0,2,0,95
11,001,000202,3000,0,10,1,7,1,69
11,001,000202,3001,0,1,0,0,0,43
11,001,000202,3002,0,5,2,5,0,66
11,001,000202,3003,0,4,1,2,0,104
11,001,000202,3004,1,10,3,7,4,97
11,001,000202,3005,0,3,0,4,0,80
11,001,000202,3006,0,5,2,1,1,62
11,001,000202,3007,0,7,4,11,3,78
11,001,000202,3008,0,1,0,1,0,5
11,001,000202,3009,0,0,0,1,0,21
11,001,000202,3010,0,4,0,4,5,45
11,001,000202,3011,0,2,1,16,2,90
11,001,000202,3012,0,4,0,8,1,98
11,001,000202,3013,0,0,0,7,3,30
11,001,000202,4000,0,5,0,5,2,151
11,001,000202,4001,1,20,10,14,5,73
11,001,000202,4002,0,45,21,37,14,283
11,001,000202,4003,0,5,1,9,2,76
11,001,000202,4004,0,88,50,49,18,569
11,001,000202,4005,0,7,5,7,2,80
11,001,000202,4006,0,0,0,0,0,45
11,001,000202,4007,0,0,0,0,0,0
11,001,000202,4008,0,0,0,0,0,0
11,001,000202,4009,0,0,0,0,0,0
11,001,000202,4010,0,0,0,0,0,0
11,001,000202,4011,0,0,0,0,0,0
11,001,000202,4012,0,0,0,0,0,4
11,001,000202,4013,0,0,0,0,0,0
11,001,000202,4014,0,0,0,0,0,0
11,001,000202,4015,0,0,0,0,0,0
11,001,000202,4016,0,0,0,0,0,0
11,001,000202,4017,0,0,0,0,0,0
11,001,000202,4018,0,0,0,0,0,0
11,001,000202,4019,0,0,0,0,0,0
11,001,000202,4020,0,0,0,0,0,0
11,001,000202,4021,0,0,0,0,0,0
11,001,000202,4022,0,0,0,0,0,0
11,001,000202,4023,0,20,13,11,4,135
11,001,000202,4024,0,0,0,0,0,0
11,001,000202,4025,0,1,0,1,0,20
11,001,000202,4026,0,14,4,11,7,96
11,001,000202,4027,0,5,4,6,4,60
11,001,000202,4028,0,11,0,5,2,46
11,001,000202,4029,0,0,0,10,1,64
11,001,000202,4030,0,3,1,1,0,11
11,001,000202,4031,0,3,0,2,0,65
11,001,000202,4032,0,0,0,0,1,18
11,001,000202,4033,0,0,0,0,0,0
11,001,000202,4034,0,0,0,0,0,0
11,001,000300,1000,2,10,5,19,3,235
11,001,000300,1001,1,2,0,3,1,130
11,001,000300,1002,0,4,0,0,4,60
11,001,000300,1003,1,16,0,6,3,131
11,001,000300,1004,0,11,0,0,0,80
11,001,000300,1005,0,7,4,5,3,77
11,001,000300,1006,0,10,2,10,7,134
11,001,000300,1007,0,15,7,2,4,113
11,001,000300,1008,0,6,2,8,7,102
11,001,000300,1009,0,4,4,7,4,87
11,001,000300,1010,0,0,0,0,0,0
11,001,000300,1011,0,0,0,0,0,0
11,001,000300,1012,0,6,0,0,0,20
11,001,000300,2000,0,5,4,3,4,138
11,001,000300,2001,0,31,13,24,4,155
11,001,000300,2002,0,8,2,3,1,65
11,001,000300,2003,0,7,10,20,5,92
11,001,000300,2004,4,35,17,51,24,484
11,001,000300,2005,0,5,6,9,5,107
11,001,000300,2006,0,7,0,10,0,129
11,001,000300,3000,0,13,8,15,6,231
11,001,000300,3001,0,6,6,18,3,126
11,001,000300,3002,0,1,0,4,0,37
11,001,000300,3003,0,25,8,23,8,375
11,001,000300,3004,0,0,0,9,0,37
11,001,000300,3005,0,4,0,17,5,56
11,001,000300,3006,0,19,7,27,2,191
11,001,000300,3007,0,0,0,2,0,22
