state_code,county,tract,block,aian,api,black,hispanic,other,white
33,001,965100,1000,0,0,0,0,0,0
33,001,965100,1001,0,0,0,0,0,0
33,001,965100,1002,0,0,0,0,0,0
33,001,965100,1003,0,0,0,0,0,0
33,001,965100,1004,0,0,0,0,0,0
33,001,965100,1005,0,0,0,0,0,3
33,001,965100,1006,0,0,0,0,0,92
33,001,965100,1007,0,0,0,0,0,16
33,001,965100,1008,0,0,0,0,0,7
33,001,965100,1009,0,0,0,0,0,0
33,001,965100,1010,0,0,0,0,0,0
33,001,965100,1011,0,0,0,0,0,0
33,001,965100,1012,0,0,0,0,0,0
33,001,965100,1013,0,0,0,0,0,0
33,001,965100,1014,0,0,0,0,0,45
33,001,965100,1015,0,0,0,0,0,0
33,001,965100,1016,0,0,0,0,0,0
33,001,965100,1017,0,0,1,0,1,30
33,001,965100,1018,0,0,0,0,0,0
33,001,965100,1019,0,0,0,0,0,19
33,001,965100,1020,0,0,0,0,0,2
33,001,965100,1021,0,0,0,0,0,47
33,001,965100,1022,0,0,0,0,0,0
33,001,965100,1023,0,0,0,0,0,8
33,001,965100,1024,0,0,0,0,0,0
33,001,965100,1025,0,0,0,0,0,27
33,001,965100,1026,0,0,0,0,0,0
33,001,965100,1027,0,2,0,0,0,47
33,001,965100,1028,0,0,0,0,0,0
33,001,965100,1029,0,0,0,0,0,0
33,001,965100,1030,0,0,0,0,0,2
33,001,965100,1031,0,0,0,1,0,71
33,001,965100,1032,0,0,0,0,0,0
33,001,965100,1033,0,0,0,0,0,1
33,001,965100,1034,0,0,0,0,0,0
33,001,965100,1035,0,0,0,0,0,0
33,001,965100,1036,0,0,0,1,1,21
33,001,965100,1037,0,0,0,0,0,0
33,001,965100,1038,0,0,0,0,0,0
33,001,965100,1039,0,0,0,0,0,0
33,001,965100,1040,0,0,0,0,0,0
33,001,965100,1041,0,0,0,0,0,0
33,001,965100,1042,0,0,0,0,0,0
33,001,965100,1043,0,0,0,0,0,0
33,001,965100,1044,0,0,0,0,0,0
33,001,965100,1045,0,0,0,0,0,0
33,001,965100,1046,0,0,0,0,0,0
33,001,965100,1047,0,0,0,0,0,0
33,001,965100,1048,0,0,0,0,0,0
33,001,965100,1049,0,0,0,0,0,2
33,001,965100,1050,0,0,0,0,0,0
33,001,965100,1051,0,0,0,0,0,0
33,001,965100,1052,0,0,0,0,0,0
33,001,965100,1053,1,0,0,0,1,42
33,001,965100,1054,0,0,0,0,0,67
33,001,965100,1055,0,0,0,0,0,32
33,001,965100,1056,1,3,0,2,1,94
33,001,965100,1057,0,0,0,0,0,0
33,001,965100,1058,0,0,0,0,0,2
33,001,965100,1059,0,0,0,1,0,54
33,001,965100,1060,0,0,0,0,0,0
33,001,965100,1061,0,0,0,0,0,0
33,001,965100,1062,0,0,0,0,0,5
33,001,965100,1063,0,0,0,1,0,23
33,001,965100,1064,0,0,0,1,0,26
33,001,965100,1065,0,0,0,0,0,0
33,001,965100,1066,0,2,2,2,1,109
33,001,965100,1067,0,0,0,0,0,0
33,001,965100,1068,0,0,0,0,0,0
33,001,965100,1069,0,0,0,0,0,0
33,001,965100,1070,0,0,0,1,0,39
33,001,965100,1071,0,0,0,0,0,0
33,001,965100,1072,0,0,0,0,0,0
33,001,965100,1073,0,0,0,0,0,0
33,001,965100,1074,0,0,0,0,0,5
33,001,965100,1075,0,0,0,0,0,0
33,001,965100,1076,0,0,0,0,0,0
33,001,965100,1077,0,0,0,0,0,15
33,001,965100,1078,0,0,0,0,0,0
33,001,965100,1079,0,0,0,0,0,0
33,001,965100,1080,0,0,0,1,0,14
33,001,965100,1081,0,0,0,0,2,15
33,001,965100,1082,0,0,0,0,0,0
33,001,965100,1083,0,0,0,0,0,0
33,001,965100,1084,0,0,0,0,0,7
33,001,965100,1085,0,0,0,1,0,33
33,001,965100,1086,0,0,0,0,0,9
33,001,965100,1087,0,0,0,0,0,0
33,001,965100,1088,0,0,0,2,0,17
33,001,965100,1089,0,0,0,0,0,0
33,001,965100,1090,0,0,0,0,0,1
33,001,965100,1091,0,0,0,0,0,0
33,001,965100,1092,0,0,0,0,0,0
33,001,965100,1093,0,7,0,2,0,5
33,001,965100,1094,0,0,0,0,0,0
33,001,965100,2000,0,0,0,0,0,0
33,001,965100,2001,0,0,0,0,0,0
33,001,965100,2002,0,0,0,0,0,0
33,001,965100,2003,0,0,0,0,0,0
33,001,965100,2004,0,0,0,0,0,0
33,001,965100,2005,0,0,0,0,0,0
33,001,965100,2006,0,0,0,0,0,0
33,001,965100,2007,0,0,0,0,0,9
33,001,965100,2008,0,0,0,0,0,18
33,001,965100,2009,0,0,0,0,0,21
33,001,965100,2010,0,0,0,0,0,2
33,001,965100,2011,0,0,1,0,1,8
33,001,965100,2012,0,0,0,0,0,0
33,001,965100,2013,0,0,0,0,0,8
33,001,965100,2014,0,1,0,0,0,1
33,001,965100,2015,0,0,0,0,0,5
33,001,965100,2016,0,0,0,0,0,2
33,001,965100,2017,0,0,0,0,0,4
33,001,965100,2018,0,0,0,0,0,0
33,001,965100,2019,0,0,0,0,0,0
33,001,965100,2020,0,0,0,0,0,0
33,001,965100,2021,0,0,0,0,0,0
33,001,965100,2022,0,1,0,0,1,2
33,001,965100,2023,0,0,0,0,0,6
33,001,965100,2024,0,0,0,3,0,22
33,001,965100,2025,0,0,0,0,0,0
33,001,965100,2026,0,0,0,0,0,11
33,001,965100,2027,0,0,0,0,0,2
33,001,965100,2028,0,0,0,0,0,7
33,001,965100,2029,0,0,0,0,0,19
33,001,965100,2030,0,0,0,0,0,0
33,001,965100,2031,0,2,0,4,5,59
33,001,965100,2032,0,0,0,0,0,12
33,001,965100,2033,0,0,0,0,0,24
33,001,965100,2034,0,0,0,0,0,0
33,001,965100,2035,0,0,0,0,0,7
33,001,965100,2036,0,0,0,0,0,4
33,001,965100,2037,0,0,0,0,0,9
33,001,965100,2038,0,0,0,0,0,0
33,001,965100,2039,0,0,0,0,0,0
33,001,965100,2040,0,0,0,0,0,7
33,001,965100,2041,0,0,0,0,0,0
33,001,965100,2042,0,0,0,0,1,16
33,001,965100,2043,0,0,0,0,0,1
33,001,965100,2044,0,0,0,0,0,0
33,001,965100,2045,0,1,0,0,0,27
33,001,965100,2046,0,0,0,0,0,16
33,001,965100,2047,0,0,0,0,0,0
33,001,965100,2048,0,0,0,0,0,8
33,001,965100,2049,0,0,0,0,0,3
33,001,965100,2050,0,0,0,0,6,23
33,001,965100,2051,0,0,0,0,0,0
33,001,965100,2052,0,0,0,0,0,17
33,001,965100,2053,0,0,0,0,0,0
33,001,965100,2054,0,0,1,1,3,80
33,001,965100,2055,0,0,0,0,0,0
33,001,965100,2056,0,0,0,0,0,5
33,001,965100,2057,0,0,0,0,0,5
33,001,965100,2058,0,0,2,1,2,124
33,001,965100,2059,0,0,0,0,0,0
33,001,965100,2060,0,0,0,0,0,0
33,001,965100,2061,0,0,0,0,1,45
33,001,965100,2062,0,0,0,0,0,2
33,001,965100,2063,0,0,0,0,0,0
33,001,965100,2064,0,0,0,0,0,0
33,001,965100,2065,0,1,0,0,0,42
33,001,965100,2066,0,0,0,0,0,0
33,001,965100,2067,0,0,0,0,0,0
33,001,965100,2068,0,0,0,0,0,0
33,001,965100,2069,0,0,0,0,0,1
33,001,965100,2070,0,0,0,0,0,0
33,001,965100,2071,0,0,0,0,0,0
33,001,965100,2072,0,0,0,0,0,0
33,001,965100,2073,0,0,0,0,0,9
